ID,Category,hiragana,katakana,Notation fluctuation,Notation fluctuation,Notation fluctuation,Notation fluctuation,Notation fluctuation,Notation fluctuation,,,,,,count,Embedding,<UnBasic>
30052,SEXUAL_WORD,ばいぶ,バイブ,,,,,,,,,,,,10,,<UnBasic>
30053,SEXUAL_WORD,めかくし,メカクシ,目隠し,,,,,,,,,,,10,,名詞
30054,SEXUAL_WORD,めいど,メイド,,,,,,,,,,,,10,,<UnBasic>
30055,SEXUAL_WORD,さいみん,サイミン,催眠,,,,,,,,,,,10,,名詞
30056,SEXUAL_WORD,どろどろ,ドロドロ,,,,,,,,,,,,10,,副詞
30057,SEXUAL_WORD,だんせい,ダンセイ,男性,,,,,,,,,,,10,,名詞
30058,SEXUAL_WORD,だんし,ダンシ,男子,,,,,,,,,,,10,,名詞
30059,SEXUAL_WORD,こしつ,コシツ,個室,,,,,,,,,,,10,,名詞
30060,SEXUAL_WORD,むね,ムネ,胸,,,,,,,,,,,8,,名詞
30061,SEXUAL_WORD,ぶらじゃー,ブラジャー,,,,,,,,,,,,8,,<UnBasic>
30062,SEXUAL_WORD,ぼっき,ボッキ,勃起,,,,,,,,,,,8,,名詞
30063,SEXUAL_WORD,うけ,ウケ,受け,,,,,,,,,,,8,,動詞
30064,SEXUAL_WORD,おくち,オクチ,お口,,,,,,,,,,,8,,<UnBasic>
30065,SEXUAL_WORD,だいすき,ダイスキ,大好き,,,,,,,,,,,8,,名詞
30066,SEXUAL_WORD,ほうし,ホウシ,奉仕,,,,,,,,,,,8,,名詞
30067,SEXUAL_WORD,ばら,バラ,薔薇,,,,,,,,,,,8,,名詞
30068,SEXUAL_WORD,しまい,シマイ,姉妹,,,,,,,,,,,8,,名詞
30069,SEXUAL_WORD,きち,キチ,,,,,,,,,,,,8,,名詞
30070,SEXUAL_WORD,にくべんき,ニクベンキ,肉便器,,,,,,,,,,,6,,<UnBasic>
30071,SEXUAL_WORD,あいますく,アイマスク,,,,,,,,,,,,6,,<UnBasic>
30072,SEXUAL_WORD,にょたいか,ニョタイカ,女体化,,,,,,,,,,,6,,<UnBasic>
30073,SEXUAL_WORD,はずかし,ハズカシ,恥ずかし,,,,,,,,,,,6,,形容詞
30074,SEXUAL_WORD,みじめ,ミジメ,惨め,,,,,,,,,,,6,,名詞
30075,SEXUAL_WORD,ぬれて,ヌレテ,濡れて,,,,,,,,,,,6,,<UnBasic>
30076,SEXUAL_WORD,しんどう,シンドウ,振動,,,,,,,,,,,6,,名詞
30077,SEXUAL_WORD,ませ,マセ,,,,,,,,,,,,6,,助動詞
30078,SEXUAL_WORD,ぶた,ブタ,豚,,,,,,,,,,,6,,名詞
30079,SEXUAL_WORD,べんき,ベンキ,便器,,,,,,,,,,,6,,名詞
30080,SEXUAL_WORD,じんせい,ジンセイ,人生,,,,,,,,,,,6,,名詞
30081,SEXUAL_WORD,じい,ジイ,自慰,,,,,,,,,,,4,,名詞
30082,SEXUAL_WORD,おっぱい,オッパイ,,,,,,,,,,,,4,,名詞
30083,SEXUAL_WORD,あなる,アナル,,,,,,,,,,,,4,,<UnBasic>
30084,SEXUAL_WORD,かうんとだうん,カウントダウン,,,,,,,,,,,,4,,<UnBasic>
30085,SEXUAL_WORD,にあな,ニアナ,二穴,,,,,,,,,,,4,,<UnBasic>
30086,SEXUAL_WORD,すかーと,スカート,,,,,,,,,,,,4,,<UnBasic>
30087,SEXUAL_WORD,くちゅくちゅ,クチュクチュ,,,,,,,,,,,,4,,<UnBasic>
30088,SEXUAL_WORD,ごっくん,ゴックン,,,,,,,,,,,,4,,<UnBasic>
30089,SEXUAL_WORD,おまた,オマタ,,,,,,,,,,,,4,,<UnBasic>
30090,SEXUAL_WORD,ちつ,チツ,膣,,,,,,,,,,,4,,名詞
30091,SEXUAL_WORD,おす,オス,雄,,,,,,,,,,,4,,名詞
30092,SEXUAL_WORD,けいけん,ケイケン,経験,,,,,,,,,,,4,,名詞
30093,SEXUAL_WORD,じょし,ジョシ,女子,,,,,,,,,,,4,,名詞
30094,SEXUAL_WORD,ぬぐ,ヌグ,脱ぐ,,,,,,,,,,,4,,動詞
30095,SEXUAL_WORD,ざこ,ザコ,雑魚,,,,,,,,,,,4,,名詞
30096,SEXUAL_WORD,かめら,カメラ,,,,,,,,,,,,4,,<UnBasic>
30097,SEXUAL_WORD,しちょうしゃ,シチョウシャ,視聴者,,,,,,,,,,,4,,<UnBasic>
30098,SEXUAL_WORD,がまん,ガマン,我慢,,,,,,,,,,,4,,名詞
30099,SEXUAL_WORD,いじめ,イジメ,虐め,,,,,,,,,,,4,,動詞
30100,SEXUAL_WORD,とる,トル,撮る,,,,,,,,,,,4,,動詞
30101,SEXUAL_WORD,たち,タチ,,,,,,,,,,,,4,,動詞
30102,SEXUAL_WORD,うま,ウマ,馬,,,,,,,,,,,4,,名詞
30103,SEXUAL_WORD,おなにー,オナニー,,,,,,,,,,,,2,,<UnBasic>
30104,SEXUAL_WORD,あえぎごえ,アエギゴエ,喘ぎ声,,,,,,,,,,,2,,<UnBasic>
30105,SEXUAL_WORD,くりおな,クリオナ,,,,,,,,,,,,2,,<UnBasic>
30106,SEXUAL_WORD,だいいんしん,ダイインシン,大陰唇,,,,,,,,,,,2,,<UnBasic>
30107,SEXUAL_WORD,しょういんしん,ショウインシン,小陰唇,,,,,,,,,,,2,,<UnBasic>
30108,SEXUAL_WORD,きとう,キトウ,亀頭,,,,,,,,,,,2,,<UnBasic>
30109,SEXUAL_WORD,まぞぶた,マゾブタ,マゾ豚,,,,,,,,,,,2,,<UnBasic>
30110,SEXUAL_WORD,くろっち,クロッチ,,,,,,,,,,,,2,,<UnBasic>
30111,SEXUAL_WORD,せいし,セイシ,精子,せーし,,,,,,,,,,2,,名詞
30112,SEXUAL_WORD,かうぱー,カウパー,,,,,,,,,,,,2,,<UnBasic>
30113,SEXUAL_WORD,ろしゅつ,ロシュツ,露出,,,,,,,,,,,2,,名詞
30114,SEXUAL_WORD,たくしあげ,タクシアゲ,たくし上げ,,,,,,,,,,,2,,<UnBasic>
30115,SEXUAL_WORD,ひだひだ,ヒダヒダ,,,,,,,,,,,,2,,<UnBasic>
30116,SEXUAL_WORD,めいどふく,メイドフク,メイド服,,,,,,,,,,,2,,<UnBasic>
30117,SEXUAL_WORD,にーそ,ニーソ,,,,,,,,,,,,2,,<UnBasic>
30118,SEXUAL_WORD,ぜんら,ゼンラ,全裸,,,,,,,,,,,2,,名詞
30119,SEXUAL_WORD,ちょうきょう,チョウキョウ,調教,,,,,,,,,,,2,,名詞
30120,SEXUAL_WORD,あなるぱーる,アナルパール,,,,,,,,,,,,2,,<UnBasic>
30121,SEXUAL_WORD,おなきん,オナキン,オナ禁,,,,,,,,,,,2,,<UnBasic>
30122,SEXUAL_WORD,らくがき,ラクガキ,落書き,,,,,,,,,,,2,,名詞
30123,SEXUAL_WORD,きゃしゃ,キャシャ,華奢,,,,,,,,,,,2,,名詞
30124,SEXUAL_WORD,ぼくっこ,ボクッコ,ボクっ娘,,,,,,,,,,,2,,<UnBasic>
30125,SEXUAL_WORD,はらませ,ハラマセ,孕ませ,,,,,,,,,,,2,,<UnBasic>
30126,SEXUAL_WORD,じゅうじゅん,ジュウジュン,従順,,,,,,,,,,,2,,名詞
30127,SEXUAL_WORD,ぷれい,プレイ,,,,,,,,,,,,2,,名詞
30128,SEXUAL_WORD,ひぎゃく,ヒギャク,被虐,,,,,,,,,,,2,,名詞
30129,SEXUAL_WORD,ひぎゃくてき,ヒギャクテキ,被虐的,,,,,,,,,,,2,,<UnBasic>
30130,SEXUAL_WORD,じぎゃく,ジギャク,自虐,,,,,,,,,,,2,,名詞
30131,SEXUAL_WORD,じぎゃくてき,ジギャクテキ,自虐的,,,,,,,,,,,2,,<UnBasic>
30132,SEXUAL_WORD,べっど,ベッド,,,,,,,,,,,,2,,<UnBasic>
30133,SEXUAL_WORD,あおむけ,アオムケ,仰向け,,,,,,,,,,,2,,名詞
30134,SEXUAL_WORD,とける,トケル,溶ける,,,,,,,,,,,2,,動詞
30135,SEXUAL_WORD,おんな,オンナ,おんな,,,,,,,,,,,2,,名詞
30136,SEXUAL_WORD,えすえぬえす,エスエヌエス,SNS,,,,,,,,,,,2,,名詞
30137,SEXUAL_WORD,かいはつずみ,カイハツズミ,開発済み,,,,,,,,,,,2,,<UnBasic>
30138,SEXUAL_WORD,すりーさいず,スリーサイズ,,,,,,,,,,,,2,,<UnBasic>
30139,SEXUAL_WORD,ばすと,バスト,,,,,,,,,,,,2,,<UnBasic>
30140,SEXUAL_WORD,うえすと,ウエスト,,,,,,,,,,,,2,,<UnBasic>
30141,SEXUAL_WORD,ひっぷ,ヒップ,,,,,,,,,,,,2,,<UnBasic>
30142,SEXUAL_WORD,ふつう,フツウ,普通,,,,,,,,,,,2,,名詞
30143,SEXUAL_WORD,りすなー,リスナー,,,,,,,,,,,,2,,<UnBasic>
30144,SEXUAL_WORD,いたい,イタイ,痛い,,,,,,,,,,,2,,形容詞
30145,SEXUAL_WORD,すいっち,スイッチ,,,,,,,,,,,,2,,<UnBasic>
30146,SEXUAL_WORD,におい,ニオイ,匂い,,,,,,,,,,,2,,名詞
30147,SEXUAL_WORD,おなか,オナカ,お腹,,,,,,,,,,,2,,名詞
30148,SEXUAL_WORD,こすりつけ,コスリツケ,擦り付け,,,,,,,,,,,2,,動詞
30149,SEXUAL_WORD,ささやき,ササヤキ,囁き,,,,,,,,,,,2,,名詞
30150,SEXUAL_WORD,こび,コビ,媚び,,,,,,,,,,,2,,動詞
30151,SEXUAL_WORD,めいき,メイキ,名器,,,,,,,,,,,2,,名詞
30152,SEXUAL_WORD,こうそく,コウソク,拘束,,,,,,,,,,,2,,名詞
30153,SEXUAL_WORD,こうかい,コウカイ,公開,,,,,,,,,,,2,,名詞
30154,SEXUAL_WORD,そうにゅう,ソウニュウ,挿入,,,,,,,,,,,2,,名詞
30155,SEXUAL_WORD,わに,ワニ,,,,,,,,,,,,2,,名詞
30156,SEXUAL_WORD,だぶる,ダブル,,,,,,,,,,,,2,,動詞
30157,SEXUAL_WORD,まぞ,マゾ,,,,,,,,,,,,2,,<UnBasic>
30158,SEXUAL_WORD,しょうじょ,ショウジョ,少女,,,,,,,,,,,2,,名詞
30159,SEXUAL_WORD,ほうこく,ホウコク,報告,,,,,,,,,,,2,,名詞
30160,SEXUAL_WORD,しょじょまく,ショジョマク,処女膜,,,,,,,,,,,0,,<UnBasic>
30161,SEXUAL_WORD,おむね,オムネ,お胸,,,,,,,,,,,0,,<UnBasic>
30162,SEXUAL_WORD,ぱいずり,パイズリ,,,,,,,,,,,,0,,名詞
30163,SEXUAL_WORD,りんかん,リンカン,輪姦,,,,,,,,,,,0,,名詞
30164,SEXUAL_WORD,きす,キス,,,,,,,,,,,,0,,動詞
30165,SEXUAL_WORD,せっくす,セックス,,,,,,,,,,,,0,,<UnBasic>
30166,SEXUAL_WORD,せいこう,セイコウ,性交,,,,,,,,,,,0,,名詞
30167,SEXUAL_WORD,せいこうしょう,セイコウショウ,性交渉,,,,,,,,,,,0,,<UnBasic>
30168,SEXUAL_WORD,いんかく,インカク,陰核,,,,,,,,,,,0,,<UnBasic>
30169,SEXUAL_WORD,せいえき,セイエキ,精液,せーえき,,,,,,,,,,0,,名詞
30170,SEXUAL_WORD,せいそう,セイソウ,精巣,,,,,,,,,,,0,,名詞
30171,SEXUAL_WORD,ちんぽ,チンポ,,,,,,,,,,,,0,,名詞
30172,SEXUAL_WORD,おちんぽ,オチンポ,,,,,,,,,,,,0,,<UnBasic>
30173,SEXUAL_WORD,こうもん,コウモン,肛門,,,,,,,,,,,0,,名詞
30174,SEXUAL_WORD,しり,シリ,尻,,,,,,,,,,,0,,名詞
30175,SEXUAL_WORD,おしり,オシリ,お尻,,,,,,,,,,,0,,<UnBasic>
30176,SEXUAL_WORD,あいえき,アイエキ,愛液,,,,,,,,,,,0,,<UnBasic>
30177,SEXUAL_WORD,あいぶ,アイブ,愛撫,,,,,,,,,,,0,,名詞
30178,SEXUAL_WORD,さおしまい,サオシマイ,竿姉妹,,,,,,,,,,,0,,<UnBasic>
30179,SEXUAL_WORD,あなきょうだい,アナキョウダイ,穴兄弟,,,,,,,,,,,0,,<UnBasic>
30180,SEXUAL_WORD,えーえふ,エーエフ,,,,,,,,,,,,0,,<UnBasic>
30181,SEXUAL_WORD,あなるふぁっく,アナルファック,,,,,,,,,,,,0,,<UnBasic>
30182,SEXUAL_WORD,あへがお,アヘガオ,アへ顔,,,,,,,,,,,0,,<UnBasic>
30183,SEXUAL_WORD,あくめ,アクメ,,,,,,,,,,,,0,,<UnBasic>
30184,SEXUAL_WORD,いんらん,インラン,淫乱,,,,,,,,,,,0,,名詞
30185,SEXUAL_WORD,おーらるせっくす,オーラルセックス,,,,,,,,,,,,0,,<UnBasic>
30186,SEXUAL_WORD,おもらしぷれい,オモラシプレイ,,,,,,,,,,,,0,,<UnBasic>
30187,SEXUAL_WORD,おうごん,オウゴン,黄金,,,,,,,,,,,0,,名詞
30188,SEXUAL_WORD,おもらし,オモラシ,お漏らし,,,,,,,,,,,0,,<UnBasic>
30189,SEXUAL_WORD,えすえむ,エスエム,,,,,,,,,,,,0,,<UnBasic>
30190,SEXUAL_WORD,おーがずむ,オーガズム,,,,,,,,,,,,0,,<UnBasic>
30191,SEXUAL_WORD,おほごえ,オホゴエ,オホ声,,,,,,,,,,,0,,<UnBasic>
30192,SEXUAL_WORD,あえぐ,アエグ,喘ぐ,,,,,,,,,,,0,,動詞
30193,SEXUAL_WORD,せいすい,セイスイ,聖水,,,,,,,,,,,0,,名詞
30194,SEXUAL_WORD,おなさぽ,オナサポ,,,,,,,,,,,,0,,<UnBasic>
30195,SEXUAL_WORD,おなにーさぽーと,オナニーサポート,,,,,,,,,,,,0,,<UnBasic>
30196,SEXUAL_WORD,ちくびおなにー,チクビオナニー,乳首オナニー,,,,,,,,,,,0,,<UnBasic>
30197,SEXUAL_WORD,くりしこ,クリシコ,,,,,,,,,,,,0,,<UnBasic>
30198,SEXUAL_WORD,くりとりすおなにー,クリトリスオナニー,,,,,,,,,,,,0,,<UnBasic>
30199,SEXUAL_WORD,くんに,クンニ,,,,,,,,,,,,0,,<UnBasic>
30200,SEXUAL_WORD,くんにりんぐす,クンニリングス,,,,,,,,,,,,0,,<UnBasic>
30201,SEXUAL_WORD,ふぇら,フェラ,,,,,,,,,,,,0,,<UnBasic>
30202,SEXUAL_WORD,ふぇらちお,フェラチオ,,,,,,,,,,,,0,,<UnBasic>
30203,SEXUAL_WORD,いらまちお,イラマチオ,,,,,,,,,,,,0,,<UnBasic>
30204,SEXUAL_WORD,いらま,イラマ,,,,,,,,,,,,0,,<UnBasic>
30205,SEXUAL_WORD,こしへこ,コシヘコ,腰へこ,,,,,,,,,,,0,,<UnBasic>
30206,SEXUAL_WORD,せいどれい,セイドレイ,性奴隷,,,,,,,,,,,0,,<UnBasic>
30207,SEXUAL_WORD,こうしゅうべんき,コウシュウベンキ,公衆便器,,,,,,,,,,,0,,<UnBasic>
30208,SEXUAL_WORD,なかだし,ナカダシ,中射精し,,,,,,,,,,,0,,<UnBasic>
30209,SEXUAL_WORD,えぬえぬ,エヌエヌ,,,,,,,,,,,,0,,<UnBasic>
30210,SEXUAL_WORD,せんずり,センズリ,,,,,,,,,,,,0,,<UnBasic>
30211,SEXUAL_WORD,まんずり,マンズリ,,,,,,,,,,,,0,,<UnBasic>
30212,SEXUAL_WORD,こしひく,コシヒク,腰ひく,,,,,,,,,,,0,,<UnBasic>
30213,SEXUAL_WORD,くぱぁ,クパァ,,,,,,,,,,,,0,,<UnBasic>
30214,SEXUAL_WORD,まんじる,マンジル,マン汁,,,,,,,,,,,0,,<UnBasic>
30215,SEXUAL_WORD,ろーしょん,ローション,,,,,,,,,,,,0,,<UnBasic>
30216,SEXUAL_WORD,ろーたー,ローター,,,,,,,,,,,,0,,<UnBasic>
30217,SEXUAL_WORD,ぴんくろーたー,ピンクローター,,,,,,,,,,,,0,,<UnBasic>
30218,SEXUAL_WORD,ちくびろーたー,チクビローター,乳首ローター,,,,,,,,,,,0,,<UnBasic>
30219,SEXUAL_WORD,くりばいぶ,クリバイブ,,,,,,,,,,,,0,,<UnBasic>
30220,SEXUAL_WORD,くりろーたー,クリローター,,,,,,,,,,,,0,,<UnBasic>
30221,SEXUAL_WORD,でんま,デンマ,電マ,,,,,,,,,,,0,,<UnBasic>
30222,SEXUAL_WORD,でんどうまっさーじき,デンドウマッサージキ,電動マッサージ機,,,,,,,,,,,0,,<UnBasic>
30223,SEXUAL_WORD,ぜんりつせん,ゼンリツセン,前立腺,,,,,,,,,,,0,,名詞
30224,SEXUAL_WORD,ちょくちょう,チョクチョウ,直腸,,,,,,,,,,,0,,名詞
30225,SEXUAL_WORD,えすじけっちょう,エスジケッチョウ,S字結腸,,,,,,,,,,,0,,<UnBasic>
30226,SEXUAL_WORD,ぽるちお,ポルチオ,,,,,,,,,,,,0,,<UnBasic>
30227,SEXUAL_WORD,びらびら,ビラビラ,,,,,,,,,,,,0,,<UnBasic>
30228,SEXUAL_WORD,まんすじ,マンスジ,,,,,,,,,,,,0,,<UnBasic>
30229,SEXUAL_WORD,うらすじ,ウラスジ,裏筋,,,,,,,,,,,0,,<UnBasic>
30230,SEXUAL_WORD,たいがいぽるちお,タイガイポルチオ,体外ポルチオ,,,,,,,,,,,0,,<UnBasic>
30231,SEXUAL_WORD,めすいき,メスイキ,雌イキ,,,,,,,,,,,0,,<UnBasic>
30232,SEXUAL_WORD,めすおち,メスオチ,雌堕ち,,,,,,,,,,,0,,<UnBasic>
30233,SEXUAL_WORD,てぃーえす,ティーエス,,,,,,,,,,,,0,,<UnBasic>
30234,SEXUAL_WORD,トランス,トランス,,,,,,,,,,,,0,,名詞
30235,SEXUAL_WORD,ふにゃおす,フニャオス,ふにゃ雄,,,,,,,,,,,0,,<UnBasic>
30236,SEXUAL_WORD,ふにゃちん,フニャチン,,,,,,,,,,,,0,,<UnBasic>
30237,SEXUAL_WORD,きんたま,キンタマ,金玉,,,,,,,,,,,0,,名詞
30238,SEXUAL_WORD,こうがん,コウガン,睾丸,,,,,,,,,,,0,,名詞
30239,SEXUAL_WORD,せいのう,セイノウ,精嚢,,,,,,,,,,,0,,<UnBasic>
30240,SEXUAL_WORD,がんしゃ,ガンシャ,顔射,,,,,,,,,,,0,,<UnBasic>
30241,SEXUAL_WORD,こうないしゃせい,コウナイシャセイ,口内射精,,,,,,,,,,,0,,<UnBasic>
30242,SEXUAL_WORD,そとだし,ソトダシ,外射精し,,,,,,,,,,,0,,<UnBasic>
30243,SEXUAL_WORD,にんしん,ニンシン,妊娠,,,,,,,,,,,0,,名詞
30244,SEXUAL_WORD,てこき,テコキ,手コキ,,,,,,,,,,,0,,<UnBasic>
30245,SEXUAL_WORD,かみこき,カミコキ,髪コキ,,,,,,,,,,,0,,<UnBasic>
30246,SEXUAL_WORD,へそこき,ヘソコキ,へそこき,,,,,,,,,,,0,,<UnBasic>
30247,SEXUAL_WORD,ちくびなめ,チクビナメ,乳首舐め,,,,,,,,,,,0,,<UnBasic>
30248,SEXUAL_WORD,きょうせいぜっちょう,キョウセイゼッチョウ,強制絶頂,,,,,,,,,,,0,,<UnBasic>
30249,SEXUAL_WORD,れんぞくぜっちょう,レンゾクゼッチョウ,連続絶頂,,,,,,,,,,,0,,<UnBasic>
30250,SEXUAL_WORD,るーいんど,ルーインド,,,,,,,,,,,,0,,<UnBasic>
30251,SEXUAL_WORD,るーりんどおーがずむ,ルーリンドオーガズム,,,,,,,,,,,,0,,<UnBasic>
30252,SEXUAL_WORD,さいにー,サイニー,,,,,,,,,,,,0,,<UnBasic>
30253,SEXUAL_WORD,さいみんおなにー,サイミンオナニー,催眠オナニー,,,,,,,,,,,0,,<UnBasic>
30254,SEXUAL_WORD,きょにゅう,キョニュウ,巨乳,,,,,,,,,,,0,,名詞
30255,SEXUAL_WORD,ひんにゅう,ヒンニュウ,貧乳,,,,,,,,,,,0,,<UnBasic>
30256,SEXUAL_WORD,ちゅうにゅう,チュウニュウ,中乳,,,,,,,,,,,0,,<UnBasic>
30257,SEXUAL_WORD,さくにゅう,サクニュウ,搾乳,,,,,,,,,,,0,,名詞
30258,SEXUAL_WORD,ちちしぼり,チチシボリ,乳絞り,,,,,,,,,,,0,,<UnBasic>
30259,SEXUAL_WORD,ちくびかいはつ,チクビカイハツ,乳首開発,,,,,,,,,,,0,,<UnBasic>
30260,SEXUAL_WORD,あなるかいはつ,アナルカイハツ,アナル開発,,,,,,,,,,,0,,<UnBasic>
30261,SEXUAL_WORD,ぱんてぃ,パンティ,,,,,,,,,,,,0,,名詞
30262,SEXUAL_WORD,しょーつ,ショーツ,,,,,,,,,,,,0,,<UnBasic>
30263,SEXUAL_WORD,ちんかぎ,チンカギ,チン嗅ぎ,,,,,,,,,,,0,,<UnBasic>
30264,SEXUAL_WORD,まんかぎ,マンカギ,マン嗅ぎ,,,,,,,,,,,0,,<UnBasic>
30265,SEXUAL_WORD,しゃせいかんり,シャセイカンリ,射精管理,,,,,,,,,,,0,,<UnBasic>
30266,SEXUAL_WORD,ていそうたい,テイソウタイ,貞操帯,,,,,,,,,,,0,,<UnBasic>
30267,SEXUAL_WORD,せいじょうい,セイジョウイ,正常位,,,,,,,,,,,0,,<UnBasic>
30268,SEXUAL_WORD,そくい,ソクイ,側位,,,,,,,,,,,0,,<UnBasic>
30269,SEXUAL_WORD,きじょうい,キジョウイ,騎乗位,,,,,,,,,,,0,,<UnBasic>
30270,SEXUAL_WORD,こうはいい,コウハイイ,後背位,,,,,,,,,,,0,,<UnBasic>
30271,SEXUAL_WORD,ばっく,バック,,,,,,,,,,,,0,,<UnBasic>
30272,SEXUAL_WORD,ざーじる,ザージル,ザー汁,,,,,,,,,,,0,,<UnBasic>
30273,SEXUAL_WORD,おなほ,オナホ,,,,,,,,,,,,0,,<UnBasic>
30274,SEXUAL_WORD,おなほーる,オナホール,,,,,,,,,,,,0,,<UnBasic>
30275,SEXUAL_WORD,くりおなほ,クリオナホ,,,,,,,,,,,,0,,<UnBasic>
30276,SEXUAL_WORD,くりおなほーる,クリオナホール,,,,,,,,,,,,0,,<UnBasic>
30277,SEXUAL_WORD,れいぷ,レイプ,,,,,,,,,,,,0,,<UnBasic>
30278,SEXUAL_WORD,ごうかん,ゴウカン,強姦,,,,,,,,,,,0,,名詞
30279,SEXUAL_WORD,あへがおだぶるぴーす,アヘガオダブルピース,アへ顔ダブルピース,,,,,,,,,,,0,,<UnBasic>
30280,SEXUAL_WORD,おなみせ,オナミセ,,,,,,,,,,,,0,,<UnBasic>
30281,SEXUAL_WORD,ふたなり,フタナリ,,,,,,,,,,,,0,,名詞
30282,SEXUAL_WORD,ちくぴ,チクピ,,,,,,,,,,,,0,,<UnBasic>
30283,SEXUAL_WORD,ちくびぴあす,チクビピアス,乳首ピアス,,,,,,,,,,,0,,<UnBasic>
